iso3,admin,continent,ncell,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,fire_resid,gdp_resid
NZL,New Zealand,Oceania,118,0.12516194270358258,1510.5069259473041,9.691784117297257,2.157748451832841,33708.635523746176,-0.8859092668229651,0.4544896549377073
NLD,Netherlands,Europe,18,0.2406061971713205,764.0403287467948,9.93438905378294,0.564519592662093,47467.68479953955,-0.5555680180590281,0.7682725422184267
NPL,Nepal,Asia,55,5.234858707584049,1229.702148791226,13.899994002045714,1.1527674607259117,654.2935574672174,0.5245752759610615,-0.9945183641922468
NAM,Namibia,Africa,288,3.5222091832932723,272.45405029026944,19.540759534930753,0.004972570793497788,4320.1619827468685,0.5947777713568592,0.4165799413011695
MOZ,Mozambique,Africa,268,36.48185815883309,936.947905548889,23.702401672219892,0.6613960593129011,505.2969694124373,0.877080476986223,-0.6689744399568549
MAR,Morocco,Africa,219,0.05731962888063833,233.67506993679154,18.124837507302423,0.12999228797226065,2858.8970458984395,-1.266340677506763,-0.09846098372070333
MNE,Montenegro,Europe,6,1.676765727254362,1341.2052446722753,9.304727538725174,1.116902677419959,5968.6565562268715,0.27308081277431967,-0.18655012323436626
MNG,Mongolia,Asia,741,0.6795810816394351,215.87414889744423,1.4637620609900843,0.011932780889438473,2651.651135232677,0.8524722641980622,-0.5561851151702428
MDA,Moldova,Europe,16,3.908620972845757,500.30004510775694,11.111007710496402,0.31387010186144115,2371.838419955654,0.6805418763904605,-0.458412427129423
MEX,Mexico,North America,703,3.8341317023561716,758.4209148453389,20.38563140655004,0.7712609180910641,9514.76369088446,0.08784548723856417,0.4083817864499073
MRT,Mauritania,Africa,358,0.15765254860952344,83.0697790104803,15.37106471288075,0.00031705151889050576,1438.4230275976956,0.2712921462394967,-0.47346141474255354
MLI,Mali,Africa,425,10.288512736538582,310.2338468997796,21.492577805930377,0.026498186191519384,751.829177602723,0.7992932364030129,-0.3310283120538897
MYS,Malaysia,Asia,108,0.553102626188848,2960.11101234845,25.89443087525104,2.5293320001470065,8209.491788408835,-1.021639303937602,0.5660708554654605
MWI,Malawi,Africa,39,20.74200820012441,694.7392883389281,16.0264092259172,0.47948129701131065,508.7789362970868,1.0761494244155436,-0.9548681567606483
MDG,Madagascar,Africa,200,24.35734801296613,1458.4948239006915,22.42820044119273,1.5026831983820192,428.5161959396902,0.7388957825210232,-0.8758923660214029
MKD,North Macedonia,Europe,11,1.4490439268507223,672.1989316942414,10.717771582672553,0.7845718294822703,4671.423444042345,0.1891139119383869,-0.2968857655666448
LTU,Lithuania,Europe,38,0.5631403336558725,689.0802739098519,7.411112302934636,0.8962480537157509,12692.280397926157,-0.05437003884026112,-0.01233287550570239
LBY,Libya,Africa,592,0.004229563946212951,31.967730598219283,16.41454109956381,0.0018821224719321262,9050.910408307474,-0.8537819915607912,0.3380510712248648
LBR,Liberia,Africa,31,12.5052676811915,2463.224627450719,24.88747423012931,2.574000136344417,509.80364539936545,0.3550382451426404,-0.7237229004420085
LSO,Lesotho,Africa,12,2.5394808025174234,803.5873715299936,12.897938037572725,1.6452279757924115,943.6996164385585,0.2779227129917802,-1.0348651361019696
LBN,Lebanon,Asia,4,0.6532376760095495,656.4021682750127,16.11290009367417,0.540190938973139,6618.256932508593,-0.4262175774978277,0.1300335717142791
LVA,Latvia,Europe,35,0.7662400657229115,683.1388036464299,6.791670697133017,0.9892201314180566,11878.384493954156,0.1105118362000326,-0.08708878038694046
LAO,Laos,Asia,77,26.863278630364515,1834.7715959185643,23.93829599939779,2.25442922778702,1369.053641770574,0.70627917307006,-0.36117436847020956
KGZ,Kyrgyzstan,Asia,86,0.6246022572681605,452.6764679747901,1.5867120335664222,0.01791686054649625,904.2210727864594,0.554183105054547,-0.9222749934250056
KWT,Kuwait,Asia,8,0.0028580548855583194,112.75851473899777,26.828664132916398,2.683883379936697e-05,35711.16248117578,-1.959713642575414,1.0955571732920872
KEN,Kenya,Africa,193,1.563392208514219,665.7394799239054,24.229360514113974,0.4494575406863211,1125.4394799595423,-0.4705239374921425,-0.2914516151355886
KAZ,Kazakhstan,Asia,1318,4.755238868681175,230.81012683234397,5.910011937461637,0.009093921997247512,7506.294620987613,1.4568815751891422,0.08918637547823005
