iso3,admin,continent,burned_frac_pct,p_ann,t_air,gpp,f_past,f_scnd,f_human,gdp_pcap
CRI,Costa Rica,North America,2.7011605052257592,2954.983048657343,23.963628354408186,2.8639914723508166,0.24970866826653418,0.3678160795982692,0.6175247478648034,8503.928874145264
COD,Democratic Republic of the Congo,Africa,30.58079144648978,1467.70969148545,24.295849138795976,2.1476627573440132,0.08123164751868901,0.13492768578343373,0.21615933330212272,351.2008466948722
COG,Republic of the Congo,Africa,14.248596426598862,1598.7487776787993,24.98693080056801,2.0384479511431475,0.2812832894866108,0.06478168580229787,0.34606497528890867,2329.4825979257826
COL,Colombia,South America,2.862259600301783,2586.148375268478,24.532227192055682,2.6205950285753032,0.3317525001204658,0.09877935502036213,0.4305318551408279,5426.618966941409
CHN,China,Asia,1.1154429536710395,590.5930376722711,7.423764287733092,0.5056275004044496,0.411085233009876,0.20017305676514913,0.6112582897750252,5363.112641870794
CHL,Chile,South America,1.0948507117677517,764.9635740293443,8.996299159255557,0.8083757875174463,0.1705960222825095,0.14704567445885386,0.31764169674136333,11281.466765699175
TCD,Chad,Africa,12.491924804012701,329.274124225043,22.643299445855305,0.010234863299885141,0.2945961062469015,0.46822508400666285,0.7628211902535644,894.1494910369031
CAF,Central African Republic,Africa,56.477866891777964,1362.8544806190753,26.759504400655217,1.633759599798036,0.05525975668589147,0.06032785224316176,0.11558760892905323,393.58373991461315
CAN,Canada,North America,0.3573840711296043,498.76988009731656,-1.836081845076962,0.3786103689297627,0.02101286370502811,0.08643799224436326,0.10745085594939137,42059.08741119305
CMR,Cameroon,Africa,23.68277448122447,1589.1983767967263,24.836018025344732,2.0272767029654233,0.051738908970628834,0.1717063706312556,0.22344527960188443,1345.0684068517467
KHM,Cambodia,Asia,31.052838190666858,1792.7741835433958,26.53010335005645,1.788981557834974,0.07258341067485644,0.20305839079931748,0.27564180147417394,1124.237802276233
MMR,Myanmar,Asia,22.071779043090025,2036.8625301734119,23.81304625413023,1.7061733191633681,0.08946430752617032,0.26005736815699904,0.3495216756831694,846.5732110244735
BDI,Burundi,Africa,12.351565015197057,1111.3794698531135,18.790429145568837,0.6627798248206354,0.18799822338331734,0.2212218054689681,0.4092200288522855,199.11493081988385
BFA,Burkina Faso,Africa,20.923302315811515,823.5507465105072,29.65383267782975,0.14468112623828183,0.20373513511311075,0.5998204453409117,0.8035555804540224,596.0142821422545
BGR,Bulgaria,Europe,4.43744605412256,678.0327537872973,11.56895032109851,0.7256613021512887,0.15306261195589996,0.5084726544103391,0.661535266366239,6565.156426607267
