C:\Users\owusu\miniforge3\Lib\site-packages\pyproj\network.py:59: UserWarning: pyproj unable to set PROJ database path.
  _set_context_ca_bundle_path(ca_bundle_path)
[I 2026-06-08 12:07:12,012] A new study created in memory with name: no-name-6216fa72-d528-4c4d-a3a0-d0282f20c4cf
[I 2026-06-08 12:07:57,045] Trial 35 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.07537201787998425, 'D_low': 123.70617442380748, 'k2': 0.0032930213963426706, 'D_high': 6067.290033535001, 'fire_exp': 2.8480070810999583, 'P_half': 323.7668055684038, 'pre_dampen_half': 8.347790852520644, 'gpp_af': 32.04719717682612, 'gpp_b': 1.873606058421592e-05, 'gpp_d': 0.25398960809498144, 'ign_k': 6.333531520998706, 'ign_c': 363.9612396485066, 'trop_agb_crit': 4.710426964286611, 'trop_k_veg': 2.790513046040763}.
[I 2026-06-08 12:07:58,548] Trial 36 finished with values: [10.892857136657225, 10.892857136657225] and parameters: {'k1': 0.00012868405331151612, 'D_low': 5.6556775246185085, 'k2': 0.0007158031739371039, 'D_high': 259.06510073644523, 'fire_exp': 3.83403534181858, 'P_half': 2.0461550877877857, 'pre_dampen_half': 744.6874559393902, 'gpp_af': 85.32056493640629, 'gpp_b': 0.15451487116766618, 'gpp_d': 4.79161407246161, 'ign_k': 0.017302564033031168, 'ign_c': 179.96169659044335, 'trop_agb_crit': 10.266702291253747, 'trop_k_veg': 0.7848385206902946}.
[I 2026-06-08 12:07:59,810] Trial 37 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.044025950197597, 'D_low': 1950.5135501755078, 'k2': 0.06297956449676541, 'D_high': 7996.09662595717, 'fire_exp': 4.105964554619502, 'P_half': 47.09471197589547, 'pre_dampen_half': 460.93789776763765, 'gpp_af': 21.395352568317854, 'gpp_b': 1.8677210807213754e-05, 'gpp_d': 0.013546742399729177, 'ign_k': 0.03205187700424883, 'ign_c': 174.66799020707305, 'trop_agb_crit': 28.729399923111405, 'trop_k_veg': 0.758734773524774}.
[I 2026-06-08 12:08:01,028] Trial 38 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.002379703566060642, 'D_low': 33.38592600709396, 'k2': 0.075797972901368, 'D_high': 23360.15351807503, 'fire_exp': 6.8917371429692995, 'P_half': 74.95017292334744, 'pre_dampen_half': 1.186035017482373, 'gpp_af': 0.023282808153384116, 'gpp_b': 2.178978674730084e-05, 'gpp_d': 210.67445605257004, 'ign_k': 1.7848595056753178, 'ign_c': 997.4030527860256, 'trop_agb_crit': 29.658791795265095, 'trop_k_veg': 2.332257079577479}.
[I 2026-06-08 12:08:02,259] Trial 39 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.011911039386071291, 'D_low': 6012.608403836943, 'k2': 0.025037419312288423, 'D_high': 97.5870988151656, 'fire_exp': 2.821916346634667, 'P_half': 3.2857737869796977, 'pre_dampen_half': 589.1896867519522, 'gpp_af': 1.0736758192045204, 'gpp_b': 0.00023542730600707395, 'gpp_d': 22.829869134347767, 'ign_k': 0.2968335334247, 'ign_c': 2.7080137934782536, 'trop_agb_crit': 1.4714256860732133, 'trop_k_veg': 3.218286540673567}.
[I 2026-06-08 12:08:03,495] Trial 40 finished with values: [10.884874803439871, 10.884874803439871] and parameters: {'k1': 0.0012056765208549535, 'D_low': 1228.2126524008484, 'k2': 0.0012040762895973265, 'D_high': 25628.666000163565, 'fire_exp': 3.5637467870629145, 'P_half': 175.2878790340412, 'pre_dampen_half': 241.69519319206728, 'gpp_af': 0.10409127568994281, 'gpp_b': 6.369295096609023e-05, 'gpp_d': 0.01392878970664331, 'ign_k': 1.0484531351650956, 'ign_c': 30.28574109895626, 'trop_agb_crit': 10.965064494899984, 'trop_k_veg': 0.902411054575325}.
[I 2026-06-08 12:08:04,743] Trial 41 finished with values: [10.875974864034582, 10.875974864034582] and parameters: {'k1': 3.511445258128687e-05, 'D_low': 1.1433485956638711, 'k2': 0.00025255166452944054, 'D_high': 2289.1315306837046, 'fire_exp': 2.467425479508436, 'P_half': 56.22114524476698, 'pre_dampen_half': 331.7366635899375, 'gpp_af': 0.05511595477601767, 'gpp_b': 0.012132126638791128, 'gpp_d': 82.84476373292449, 'ign_k': 0.038563028138793747, 'ign_c': 30.785541778315018, 'trop_agb_crit': 18.785197416433792, 'trop_k_veg': 6.955154171468271}.
[I 2026-06-08 12:08:06,115] Trial 42 finished with values: [10.892857123145477, 10.892857123145477] and parameters: {'k1': 3.8751982355100445e-05, 'D_low': 5085.697220189423, 'k2': 0.0009299619346742016, 'D_high': 107.88909575795405, 'fire_exp': 2.878298002135838, 'P_half': 8320.133621840185, 'pre_dampen_half': 2.9046276683520458, 'gpp_af': 0.04403094955951772, 'gpp_b': 0.0631546199357611, 'gpp_d': 0.15875524914818662, 'ign_k': 0.002011190979341457, 'ign_c': 0.3277320296937064, 'trop_agb_crit': 1.5457499114893816, 'trop_k_veg': 0.7618668427217097}.
[I 2026-06-08 12:08:07,434] Trial 43 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 3.5917714215176105e-05, 'D_low': 366.0150802571657, 'k2': 5.3397427849512415e-05, 'D_high': 241.3621319452758, 'fire_exp': 7.884758752688456, 'P_half': 78.6767770625783, 'pre_dampen_half': 21.766504582968803, 'gpp_af': 0.007271087249685711, 'gpp_b': 0.00014247350641458749, 'gpp_d': 0.01600822137048066, 'ign_k': 0.004739584301027368, 'ign_c': 1.3012518385211496, 'trop_agb_crit': 1.82585358527758, 'trop_k_veg': 0.6394086361306349}.
[I 2026-06-08 12:08:08,615] Trial 44 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 3.0376902301221646e-05, 'D_low': 69.68111190775313, 'k2': 6.688594595986188e-05, 'D_high': 286.47019533509877, 'fire_exp': 3.187258374159921, 'P_half': 577.536337635295, 'pre_dampen_half': 0.015723915425446308, 'gpp_af': 9.932349532437506, 'gpp_b': 0.0585332093505296, 'gpp_d': 0.025632747517520264, 'ign_k': 3.1211489608802356, 'ign_c': 482.49142811802585, 'trop_agb_crit': 1.2308908766048772, 'trop_k_veg': 1.0773676061600252}.
