=== fitting Africa (TAG=africa) ===
[I 2026-06-10 19:19:47,590] A new study created in memory with name: no-name-fb54fd59-4718-4744-8f1a-27ebc4d37290
[I 2026-06-10 19:20:35,027] Trial 31 finished with values: [10.421064765906701, 10.421064765906701] and parameters: {'k1': 0.012840669372724958, 'D_low': 171.2446447678494, 'k2': 0.0004976087827261435, 'D_high': 42210.21267871043, 'fire_exp': 1.2918065501148304, 'P_half': 93.43302657318476, 'pre_dampen_half': 0.011396414164620812, 'gpp_af': 0.2204465010099918, 'gpp_b': 2.176805640408474e-05, 'gpp_d': 0.03927259340973166, 'ign_k': 0.0029519227433917453, 'ign_c': 39.52220881906114, 'trop_agb_crit': 12.647327018493208, 'trop_k_veg': 2.520089655463604, 'fire_amp': 5.606809127618709}.
[I 2026-06-10 19:20:36,545] Trial 32 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0003158510449922799, 'D_low': 13.894673469237208, 'k2': 0.029812370697208823, 'D_high': 78.41214856323661, 'fire_exp': 9.188032853819758, 'P_half': 1.1184534120760474, 'pre_dampen_half': 706.9588467653589, 'gpp_af': 0.0016436129702486315, 'gpp_b': 2.2225865515619923, 'gpp_d': 4.350163152436989, 'ign_k': 9.37258061358119, 'ign_c': 0.19732688444088908, 'trop_agb_crit': 6.578243352094135, 'trop_k_veg': 7.347279422728114, 'fire_amp': 2.55299075143036}.
[I 2026-06-10 19:20:38,060] Trial 33 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0032930213963426706, 'D_low': 606.7290033535005, 'k2': 0.0006579066240690734, 'D_high': 3237.668055684036, 'fire_exp': 3.8398504643167155, 'P_half': 4023.759749324184, 'pre_dampen_half': 0.016874538403502292, 'gpp_af': 0.02539896080949815, 'gpp_b': 5.040445281577146, 'gpp_d': 282.69551568161273, 'ign_k': 0.06647020392311619, 'ign_c': 30.236421525614126, 'trop_agb_crit': 2.5687724869754125, 'trop_k_veg': 0.8423458720358215, 'fire_amp': 2.2952367745218125}.
[I 2026-06-10 19:20:39,789] Trial 34 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.00025906510073644534, 'D_low': 216.0849138979574, 'k2': 2.0461550877877853e-05, 'D_high': 78991.29442978687, 'fire_exp': 9.687478339838174, 'P_half': 620.3643835492843, 'pre_dampen_half': 4.79161407246161, 'gpp_af': 0.035288896780107666, 'gpp_b': 0.7634315752440779, 'gpp_d': 26.52502871774026, 'ign_k': 0.004471649524144921, 'ign_c': 440.25950197596967, 'trop_agb_crit': 16.405415880828006, 'trop_k_veg': 6.960542017679827, 'fire_amp': 3.6704519482929303}.
[I 2026-06-10 19:20:41,278] Trial 35 finished with values: [10.83249429116117, 10.83249429116117] and parameters: {'k1': 0.0028422402394344265, 'D_low': 47.09471197589547, 'k2': 0.053816312113049804, 'D_high': 29124.30416261908, 'fire_exp': 1.1097334326431894, 'P_half': 1.2748758606816126, 'pre_dampen_half': 0.7626351785803364, 'gpp_af': 11.291890392489357, 'gpp_b': 8.38796821093948, 'gpp_d': 0.05650468465378641, 'ign_k': 0.2379703566060643, 'ign_c': 3.3385926007093936, 'trop_agb_crit': 27.082027345327276, 'trop_k_veg': 5.163952365038207, 'fire_amp': 4.491035932123984}.
[I 2026-06-10 19:20:42,803] Trial 36 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0007495017292334742, 'D_low': 45.63289369649655, 'k2': 0.00012405900331046135, 'D_high': 16.807456139662953, 'fire_exp': 7.323562230731984, 'P_half': 1784.8595056753172, 'pre_dampen_half': 996.7548704385249, 'gpp_af': 96.20201870331293, 'gpp_b': 0.02150751495803584, 'gpp_d': 69.97406045784113, 'ign_k': 6.0126084038369445, 'ign_c': 250.37419312288375, 'trop_agb_crit': 2.319333166217087, 'trop_k_veg': 1.7437298446064287, 'fire_amp': 1.2603917749547313}.
[I 2026-06-10 19:20:44,192] Trial 37 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.06549439112520007, 'D_low': 265.8878778692342, 'k2': 8.214312521999585e-05, 'D_high': 4861.863231847276, 'fire_exp': 4.150765902513497, 'P_half': 27.08013793478254, 'pre_dampen_half': 0.036964765973876636, 'gpp_af': 2.2796384735235136, 'gpp_b': 0.013238726356442897, 'gpp_d': 72.70963402444558, 'ign_k': 0.1204076289597327, 'ign_c': 256.2866600016351, 'trop_agb_crit': 6.534815375036722, 'trop_k_veg': 2.368135918039083, 'fire_amp': 4.810266046910081}.
[I 2026-06-10 19:20:45,651] Trial 38 finished with values: [10.833115658538253, 10.833115658538253] and parameters: {'k1': 0.0004110848435021229, 'D_low': 3.4360613844702605, 'k2': 1.303559038508507e-05, 'D_high': 10484.531351650956, 'fire_exp': 4.171666206835074, 'P_half': 655.1173063184817, 'pre_dampen_half': 0.11609694921678075, 'gpp_af': 0.004806814670008168, 'gpp_b': 1.2225538397552075e-05, 'gpp_d': 0.5661581898267355, 'ign_k': 0.22891315306837046, 'ign_c': 3.706603917411953, 'trop_agb_crit': 4.427958131171205, 'trop_k_veg': 6.133177812136482, 'fire_amp': 1.8663600389828578}.
[I 2026-06-10 19:20:47,191] Trial 39 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0011375171592588656, 'D_low': 1363.3647183120063, 'k2': 0.0003856302813879373, 'D_high': 3078.554177831507, 'fire_exp': 7.283895538238777, 'P_half': 6281.776703992854, 'pre_dampen_half': 0.05437101051096082, 'gpp_af': 42.947523481442836, 'gpp_b': 0.008968044580295738, 'gpp_d': 0.19553384550454228, 'ign_k': 0.06863458703786214, 'ign_c': 832.0133621840175, 'trop_agb_crit': 5.341419125196561, 'trop_k_veg': 1.2440172074061366, 'fire_amp': 3.1108685960753526}.
[I 2026-06-10 19:20:48,695] Trial 40 finished with values: [10.829483065065887, 10.829483065065887] and parameters: {'k1': 9.132348475718357e-05, 'D_low': 2.011190979341456, 'k2': 3.277320296937061e-05, 'D_high': 32.52245757497283, 'fire_exp': 1.41873960828944, 'P_half': 3.591771421517613, 'pre_dampen_half': 16.009350908593582, 'gpp_af': 0.008117091133892173, 'gpp_b': 0.0011857788502887916, 'gpp_d': 304.7488318185732, 'ign_k': 0.07867677706257832, 'ign_c': 46.798394497739366, 'trop_agb_crit': 1.7969555911761859, 'trop_k_veg': 0.8521362768401355, 'fire_amp': 1.0759744651553196}.
