=== Model H: C + GDP term, CRUJRA climate, 02:51:20 ===
[I 2026-08-06 02:51:34,855] A new study created in memory with name: no-name-f99afc08-7171-4ef4-83f2-49ae8df2fb38
[I 2026-08-06 02:52:23,159] Trial 31 finished with values: [10.768662888044984, 10.768662888044984] and parameters: {'k1': 0.09162638829638212, 'D_low': 44.71679901231308, 'k2': 0.000307660926226903, 'D_high': 12754.159474033713, 'fire_exp': 2.191813210849194, 'P_half': 5284.809078673603, 'pre_dampen_half': 195.9132274597864, 'gpp_af': 0.13962723467364813, 'gpp_b': 0.32005631950316354, 'gpp_d': 59.253549386197555, 'ign_k': 0.002585207905676133, 'ign_c': 407.57883791361735, 'gdp_gamma': 0.046542878241472505}.
[I 2026-08-06 02:52:24,665] Trial 32 finished with values: [10.769224075791938, 10.769224075791938] and parameters: {'k1': 0.020222268128429637, 'D_low': 19.063314120324364, 'k2': 0.03820259936390116, 'D_high': 360.4182012888638, 'fire_exp': 1.0252685873887095, 'P_half': 4183.385682146039, 'pre_dampen_half': 0.028604435659156362, 'gpp_af': 0.03949737087348693, 'gpp_b': 5.016164869650094, 'gpp_d': 566.2858823465564, 'ign_k': 0.19667608399443096, 'ign_c': 33.67819821522131, 'gdp_gamma': 0.030222620614660863}.
[I 2026-08-06 02:52:26,199] Trial 33 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.00014888230597983555, 'D_low': 20.637552043950222, 'k2': 0.004898620823554844, 'D_high': 10221.111307208344, 'fire_exp': 6.188409493921614, 'P_half': 1440.3650379563878, 'pre_dampen_half': 0.02857791336012968, 'gpp_af': 0.2965524548878197, 'gpp_b': 2.2148920285054975e-05, 'gpp_d': 5.592994749372477, 'ign_k': 0.05836090333829237, 'ign_c': 355.481276519089, 'gdp_gamma': 0.014400613099032865}.
[I 2026-08-06 02:52:27,692] Trial 34 finished with values: [10.768379663728558, 10.768379663728558] and parameters: {'k1': 2.9394634586259703e-05, 'D_low': 3.7322156377670694, 'k2': 0.011118405953132116, 'D_high': 2970.7920514735997, 'fire_exp': 1.2621840161507252, 'P_half': 2.1698375693549488, 'pre_dampen_half': 31.977584652685227, 'gpp_af': 0.002311080279955305, 'gpp_b': 0.853415164671324, 'gpp_d': 33.9790424311127, 'ign_k': 0.002115412774188856, 'ign_c': 0.21844940007064118, 'gdp_gamma': 1.8068697350278546}.
[I 2026-08-06 02:52:29,189] Trial 35 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0003141110271934876, 'D_low': 30.378658251922175, 'k2': 0.01783192664937594, 'D_high': 61516.88122361404, 'fire_exp': 9.682802281020933, 'P_half': 1031.603343471972, 'pre_dampen_half': 0.7608480425834638, 'gpp_af': 0.002615192026778639, 'gpp_b': 0.4601310020925922, 'gpp_d': 6.194713831445285, 'ign_k': 0.049760878272614356, 'ign_c': 422.1021267871041, 'gdp_gamma': 0.0023284462898444124}.
[I 2026-08-06 02:52:30,655] Trial 36 finished with values: [10.400418424917778, 10.400418424917778] and parameters: {'k1': 0.0009343302657318475, 'D_low': 1.1102341430568343, 'k2': 0.0007492772870670282, 'D_high': 16.796279878430507, 'fire_exp': 1.314673522286271, 'P_half': 2.951922743391744, 'pre_dampen_half': 17.62185042369633, 'gpp_af': 5.37309347906743, 'gpp_b': 0.03163825999019024, 'gpp_d': 646.9381203459446, 'ign_k': 0.031585104499228, 'ign_c': 1.3894673469237204, 'gdp_gamma': 0.7366679513906507}.
[I 2026-08-06 02:52:32,163] Trial 37 finished with values: [10.749345179969737, 10.749345179969737] and parameters: {'k1': 7.841214856323651e-05, 'D_low': 7126.727573532312, 'k2': 1.1184534120760473e-05, 'D_high': 75773.14388518519, 'fire_exp': 1.1044852285094786, 'P_half': 3669.20903969591, 'pre_dampen_half': 4.350163152436989, 'gpp_af': 92.21975850381763, 'gpp_b': 2.7719116797094715e-05, 'gpp_d': 5.878566318396007, 'ign_k': 7.537201787998428, 'ign_c': 12.37061744238074, 'gdp_gamma': 0.11958144132818935}.
[I 2026-08-06 02:52:33,726] Trial 38 finished with values: [10.769230715927744, 10.769230715927744] and parameters: {'k1': 0.006067290033535004, 'D_low': 65.79066240690736, 'k2': 0.0032376680556840376, 'D_high': 2173.9885264011455, 'fire_exp': 7.964490718465164, 'P_half': 1.5197967846621896, 'pre_dampen_half': 0.25398960809498144, 'gpp_af': 56.50116730717881, 'gpp_b': 2.1957490490930347, 'gpp_d': 1.897945615973901, 'ign_k': 0.30236421525614154, 'ign_c': 1.28684053311516, 'gdp_gamma': 0.004178242007221588}.
[I 2026-08-06 02:52:35,263] Trial 39 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0007158031739371039, 'D_low': 25.90651007364453, 'k2': 0.0021608491389795734, 'D_high': 20.461550877877862, 'fire_exp': 9.42746237183547, 'P_half': 8807.303814609768, 'pre_dampen_half': 30.960543083273937, 'gpp_af': 0.4791614072461613, 'gpp_b': 0.0007197235239700669, 'gpp_d': 117.2128156438701, 'ign_k': 0.5481818979974936, 'ign_c': 0.4471649524144918, 'gdp_gamma': 1.0162439190027555}.
[I 2026-08-06 02:52:36,816] Trial 40 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.019505135501755075, 'D_low': 6297.956449676542, 'k2': 0.007996096625957166, 'D_high': 2842.2402394344276, 'fire_exp': 2.61964858420594, 'P_half': 5381.631211304982, 'pre_dampen_half': 213.9535256831782, 'gpp_af': 0.0016830357865967821, 'gpp_b': 1.439467443885119e-05, 'gpp_d': 0.7626351785803364, 'ign_k': 1.7466799020707342, 'ign_c': 889.4151386481896, 'gdp_gamma': 0.003137116661982202}.
[I 2026-08-06 02:52:38,304] Trial 41 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.002379703566060642, 'D_low': 33.38592600709396, 'k2': 0.075797972901368, 'D_high': 23360.15351807503, 'fire_exp': 6.8917371429692995, 'P_half': 74.95017292334744, 'pre_dampen_half': 1.186035017482373, 'gpp_af': 0.023282808153384116, 'gpp_b': 2.178978674730084e-05, 'gpp_d': 210.67445605257004, 'ign_k': 1.7848595056753178, 'ign_c': 997.4030527860256, 'gdp_gamma': 1.9495217911700486}.
[I 2026-08-06 02:52:39,859] Trial 42 finished with values: [10.767666314299687, 10.767666314299687] and parameters: {'k1': 0.0016661988193989237, 'D_low': 1191.1039386071293, 'k2': 0.060126084038369415, 'D_high': 25037.41931228843, 'fire_exp': 1.7674539272940628, 'P_half': 63.412743245163064, 'pre_dampen_half': 0.04423816211030583, 'gpp_af': 58.91896867519531, 'gpp_b': 0.04335586014611183, 'gpp_d': 0.13906377917180793, 'ign_k': 0.48618632318472765, 'ign_c': 29.683353342469974, 'gdp_gamma': 0.015216188354081242}.
[I 2026-08-06 02:52:41,335] Trial 43 finished with values: [10.769230575552358, 10.769230575552358] and parameters: {'k1': 2.8459703343413838e-05, 'D_low': 485.6157707765674, 'k2': 0.0012056765208549535, 'D_high': 12282.126524008485, 'fire_exp': 3.312558076145948, 'P_half': 2562.866600016356, 'pre_dampen_half': 5.74823075356871, 'gpp_af': 0.6378078463802858, 'gpp_b': 1.819372457817841, 'gpp_d': 1.0409127568994274, 'ign_k': 0.003436061384470262, 'ign_c': 0.13035590385085064, 'gdp_gamma': 0.3109787630831792}.
[I 2026-08-06 02:52:42,809] Trial 44 finished with values: [10.556265583015044, 10.556265583015044] and parameters: {'k1': 0.0030285741098956273, 'D_low': 655.1173063184817, 'k2': 7.10978791694274e-05, 'D_high': 35.11445258128688, 'fire_exp': 1.0340574447037933, 'P_half': 25.255166452944085, 'pre_dampen_half': 8.904067307938409, 'gpp_af': 0.09145768948268033, 'gpp_b': 0.004215504256370331, 'gpp_d': 331.7366635899375, 'ign_k': 0.02471848607234944, 'ign_c': 11.37517159258865, 'gdp_gamma': 0.3862443158940324}.
