=== Model G: fitting Africa  (tag=G_Africa, N_TRIALS=1500)  23:09:08 ===
[I 2026-08-05 23:09:24,398] A new study created in memory with name: no-name-f894e716-50ed-4a8d-a110-f72ccd102180
[I 2026-08-05 23:09:25,853] Trial 0 finished with values: [-0.6048035159299948, 0.28965736009087173] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212}.
[I 2026-08-05 23:09:41,852] Trial 11 finished with values: [10.757426129684346, 10.757426129684346] and parameters: {'k1': 0.016973078532467004, 'D_low': 3840.3004190988563, 'k2': 0.0001870742013766025, 'D_high': 27.55546207779663, 'fire_exp': 1.6901885781909627, 'P_half': 51.10120656497163, 'pre_dampen_half': 123.04779330083686, 'gpp_af': 20.12115544906385, 'gpp_b': 1.1008110571039521e-05, 'gpp_d': 3.57879245350232, 'ign_k': 0.0467351899956275, 'ign_c': 0.773448215664679}.
[I 2026-08-05 23:09:43,331] Trial 12 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 3.0162092627967762e-05, 'D_low': 22.41097161910951, 'k2': 0.059106986190885426, 'D_high': 196.25093208439853, 'fire_exp': 3.302103045515253, 'P_half': 648.7477066058678, 'pre_dampen_half': 0.6578820119123174, 'gpp_af': 72.26207258080494, 'gpp_b': 5.952285716284423, 'gpp_d': 0.18151456496577564, 'ign_k': 0.09749762207436122, 'ign_c': 1.597766235483386}.
[I 2026-08-05 23:09:44,758] Trial 13 finished with values: [10.11193232063786, 10.11193232063786] and parameters: {'k1': 0.00013783578294796384, 'D_low': 1.4045842344024697, 'k2': 0.0027431991397796683, 'D_high': 1024.9816559563214, 'fire_exp': 1.1258453832483524, 'P_half': 13.019246714361572, 'pre_dampen_half': 347.79988160923324, 'gpp_af': 0.015769192447197523, 'gpp_b': 7.402343469704428e-05, 'gpp_d': 2.8006820077310213, 'ign_k': 8.761971101023693, 'ign_c': 0.9294394155644988}.
[I 2026-08-05 23:09:46,177] Trial 14 finished with values: [10.761190311757487, 10.761190311757487] and parameters: {'k1': 0.00488137519160367, 'D_low': 1112.9571947046009, 'k2': 8.923807143379776e-05, 'D_high': 8182.111518618414, 'fire_exp': 2.332293128354265, 'P_half': 338.23872019362165, 'pre_dampen_half': 14.711215379121963, 'gpp_af': 0.47739011308437823, 'gpp_b': 3.481277316673104e-05, 'gpp_d': 150.14555442537656, 'ign_k': 0.019192001101561888, 'ign_c': 0.557280750002996}.
[I 2026-08-05 23:09:47,561] Trial 15 finished with values: [10.769230647089257, 10.769230647089257] and parameters: {'k1': 1.4557961490251982e-05, 'D_low': 230.97861492693565, 'k2': 0.0051316549551483235, 'D_high': 11.650681118986137, 'fire_exp': 3.251569628166816, 'P_half': 8.053471030316096, 'pre_dampen_half': 16.821470258034143, 'gpp_af': 0.007444441903453077, 'gpp_b': 0.1398383943321133, 'gpp_d': 0.8583743499363278, 'ign_k': 5.583672722754823, 'ign_c': 0.3548818403010947}.
[I 2026-08-05 23:09:48,880] Trial 16 finished with values: [10.764419471165576, 10.764419471165576] and parameters: {'k1': 0.00023134781612225627, 'D_low': 2.843767489444367, 'k2': 0.0499774937030317, 'D_high': 32311.521854410956, 'fire_exp': 1.811096651915224, 'P_half': 436.4516946807792, 'pre_dampen_half': 121.93011993958949, 'gpp_af': 0.5970408652384318, 'gpp_b': 0.015062722325200045, 'gpp_d': 0.1619054449471649, 'ign_k': 0.002357279455676982, 'ign_c': 388.02797007866826}.
[I 2026-08-05 23:09:50,245] Trial 17 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.039964301676942524, 'D_low': 340.7264348530191, 'k2': 0.00022704877557909215, 'D_high': 249.36660834465195, 'fire_exp': 5.3205395870154035, 'P_half': 3876.511170911631, 'pre_dampen_half': 272.54117335304034, 'gpp_af': 7.9319091138570625, 'gpp_b': 0.07115245297181685, 'gpp_d': 0.026345098397336078, 'ign_k': 0.004431133722857619, 'ign_c': 392.8409513479224}.
[I 2026-08-05 23:09:51,591] Trial 18 finished with values: [10.733105416375293, 10.733105416375293] and parameters: {'k1': 0.0026651167490553537, 'D_low': 1.0883991813938128, 'k2': 2.5461628161276896e-05, 'D_high': 4508.240502480678, 'fire_exp': 1.0117229084672894, 'P_half': 4.397766894483963, 'pre_dampen_half': 5.542030950268268, 'gpp_af': 2.8805537835688413, 'gpp_b': 0.08161454372835547, 'gpp_d': 0.13223503889537183, 'ign_k': 0.7058572590901792, 'ign_c': 0.8891936446296247}.
[I 2026-08-05 23:09:52,964] Trial 19 finished with values: [10.767659468447375, 10.767659468447375] and parameters: {'k1': 0.0002002621122934531, 'D_low': 968.2012086882471, 'k2': 0.003967633935744858, 'D_high': 24939.838794891497, 'fire_exp': 4.545826879529187, 'P_half': 187.6006822030065, 'pre_dampen_half': 0.029401794589686385, 'gpp_af': 0.06895710419314548, 'gpp_b': 0.0003901343643245447, 'gpp_d': 0.16593890383815796, 'ign_k': 7.799059237255681, 'ign_c': 3.735862630812751}.
[I 2026-08-05 23:09:54,319] Trial 20 finished with values: [10.765825220392717, 10.765825220392717] and parameters: {'k1': 0.03699867920489089, 'D_low': 334.62201030483817, 'k2': 0.015109330261674455, 'D_high': 1024.5858939867323, 'fire_exp': 3.7748863822506733, 'P_half': 93.34064019986363, 'pre_dampen_half': 0.09467055845337147, 'gpp_af': 4.095062894476692, 'gpp_b': 0.0004837646996135023, 'gpp_d': 0.013230608911548413, 'ign_k': 0.3818468247973969, 'ign_c': 0.5110256715654393}.
