country,iso3,cells,model_km2_y,obs_km2_y,ratio,model_peak,obs_peak,phase_months
Republic of Serbia,SRB,18,3075.2661236055837,2820.817712198347,1.0902037768363761,Aug,Oct,2
Republic of the Congo,COG,49,61328.57595691566,48711.5495950003,1.259015089169127,Aug,Jul,1
Romania,ROU,47,11737.61685516494,7256.596795959113,1.6175098582990193,Aug,Aug,0
Russia,RUS,3500,468407.264255815,471035.32579979574,0.9944206699582067,Apr,Apr,0
Rwanda,RWA,5,2595.028819088094,1714.7052683244829,1.5133964227122343,Aug,Jul,1
Saint Barthelemy,BLM,1,0.0,0.0007798810299533472,0.0,Jan,Mar,2
Saint Helena,SHN,6,0.0,0.0,inf,Jan,Jan,0
Saint Kitts and Nevis,KNA,1,0.0,0.00840560504559651,0.0,Jan,Mar,2
Saint Lucia,LCA,4,0.0,0.00268285903052609,0.0,Jan,Mar,2
Saint Martin,MAF,1,0.0,0.0,inf,Jan,Jan,0
Saint Pierre and Miquelon,SPM,2,0.0,0.0,inf,Jan,Jan,0
Saint Vincent and the Grenadines,VCT,2,0.0,0.0006963201711674401,0.0,Jan,Apr,3
Samoa,WSM,3,0.0,0.13251370354590372,0.0,Jan,Sep,4
San Marino,SMR,1,3.2681097493173232,0.12659788322092322,25.814884626579545,Aug,Aug,0
Saudi Arabia,SAU,213,35.2126178471555,335.5397980262718,0.1049431931898536,Dec,Jun,6
Scarborough Reef,SCR,1,0.0,0.0,inf,Jan,Jan,0
Senegal,SEN,29,54376.73957444902,52939.135480833946,1.027155790901337,Dec,Nov,1
Serranilla Bank,SER,1,0.0,0.0,inf,Jan,Jan,0
Seychelles,SYC,9,0.0,0.0,inf,Jan,Jan,0
Siachen Glacier,KAS,2,0.0,0.0,inf,Jan,Jan,0
Sierra Leone,SLE,12,22055.57320064747,35722.089248105156,0.6174211437483988,Jan,Mar,2
Singapore,SGP,2,14.443838399874117,1.4926254635084908,9.676800210766306,Jun,Feb,4
Sint Maarten,SXM,1,0.0,0.0,inf,Jan,Jan,0
Slovakia,SVK,15,2626.5398874892862,376.73329216501133,6.971881546212929,Apr,Mar,1
Slovenia,SVN,7,270.12348308669317,39.15548172845298,6.898739874023908,Apr,Mar,1
Solomon Islands,SLB,28,0.0,1.4881797464320836,0.0,Jan,Sep,4
Somalia,SOM,64,15163.572770666158,2169.2025618667794,6.99039040301365,Sep,Feb,5
Somaliland,SOL,25,4973.2477523980515,9.055435146440447,549.2003058906516,Mar,May,2
South Africa,ZAF,154,62751.88088655894,52405.98523129601,1.197418207283021,Oct,Aug,2
South Georgia and the Islands,SGS,12,0.0,0.0,inf,Jan,Jan,0
South Korea,KOR,24,921.797750130585,421.1977492293547,2.188515375063504,Apr,Apr,0
South Sudan,SDS,78,385768.66211710527,404452.9710118318,0.9538035068750184,Dec,Dec,0
Southern Patagonian Ice Field,SPI,1,0.0,0.0,inf,Jan,Jan,0
Spain,ESP,99,16920.144496214438,4339.118091511355,3.89944319084457,Jul,Sep,2
Spratly Islands,PGA,5,0.0,0.0,inf,Jan,Jan,0
Sri Lanka,LKA,12,3293.6105376872997,2980.5906680956127,1.1050194087172944,Sep,Aug,1
Sudan,SDN,191,145883.49364337098,125190.45622104329,1.1652924515730727,Nov,Nov,0
Suriname,SUR,23,5196.579850191404,564.9503624951208,9.198294567403318,Oct,Oct,0
Sweden,SWE,114,185.78969009405083,415.01142724408817,0.44767367329569696,Apr,Jun,2
Switzerland,CHE,14,526.1181255700604,34.464737641809464,15.265403469423836,Apr,Mar,1
Syria,SYR,34,2249.9554944636197,2351.340903865553,0.9568818756841009,Jul,Jun,1
São Tomé and Principe,STP,2,0.0,0.541828001890684,0.0,Jan,Jul,6
Taiwan,TWN,12,242.2396128852686,85.06848204186988,2.8475835829072467,Mar,Mar,0
Tajikistan,TJK,32,2465.2347034277063,495.7235078702953,4.973003426887571,Aug,Jul,1
Thailand,THA,76,88352.85255363147,81593.64060201122,1.0828399358301661,Feb,Mar,1
The Bahamas,BHS,24,0.0,27.142852409476458,0.0,Jan,Apr,3
Togo,TGO,13,21962.90419591373,33601.24033984278,0.6536337341651982,Jan,Dec,1
Tonga,TON,8,0.0,0.009830466525668945,0.0,Jan,Feb,1
Trinidad and Tobago,TTO,3,304.5840090491373,42.75364517689548,7.124164683242909,Mar,Mar,0
Tunisia,TUN,30,2756.488995534393,258.55411375500927,10.661168586728735,Jul,Aug,1
Turkey,TUR,117,33157.87488689368,15030.631505292737,2.20602007807974,Aug,Sep,1
Turkmenistan,TKM,77,192.86446962387373,3409.8200473019506,0.05656148035626672,Jul,Feb,5
Turks and Caicos Islands,TCA,2,0.0,0.005397452319003015,0.0,Jan,Apr,3
Tuvalu,TUV,8,0.0,0.0,inf,Jan,Jan,0
US Naval Base Guantanamo Bay,USG,1,0.0,0.005057866766285155,0.0,Jan,Mar,2
Uganda,UGA,34,43099.82979650333,51214.27011764174,0.8415589970822753,Jan,Jan,0
Ukraine,UKR,104,36842.029082175206,42545.00869142793,0.86595420274525,Apr,Aug,4
United Arab Emirates,ARE,18,0.0,1.6196709143257764,0.0,Jan,May,4
United Kingdom,GBR,74,241.64028361877416,599.5743632781803,0.40301970600878084,Apr,Apr,0
United Republic of Tanzania,TZA,99,267219.7727879795,223792.02819191155,1.194054028407244,Sep,Jul,2
United States Minor Outlying Islands,UMI,8,0.0,0.0,inf,Jan,Jan,0
United States Virgin Islands,VIR,3,0.0,0.004270075745420244,0.0,Jan,Apr,3
United States of America,USA,1381,224002.3866026006,68662.95004609061,3.2623472549932244,Aug,Apr,4
Uruguay,URY,27,10552.91637631479,2897.299746756532,3.6423281326443924,Jan,Aug,5
Uzbekistan,UZB,83,3099.828111357643,4151.138689951764,0.746741639555691,Jul,Mar,4
Vanuatu,VUT,15,0.0,0.542761217766852,0.0,Jan,Oct,3
Vatican,VAT,1,0.0,7.921370577083814e-05,0.0,Jan,Aug,5
Venezuela,VEN,112,92895.19677240902,47374.801992733876,1.9608566762275197,Mar,Mar,0
Vietnam,VNM,60,39667.270026966275,37552.79686034664,1.0563066760242399,Mar,Mar,0
Wallis and Futuna,WLF,2,0.0,0.0,inf,Jan,Jan,0
Western Sahara,SAH,26,39.237698556849175,0.0,inf,Jul,Jan,6
Yemen,YEM,60,4294.066981662668,29.37247754390879,146.19355739547288,Nov,Jun,5
Zambia,ZMB,92,312526.23102586623,386867.2599788307,0.807838407010631,Sep,Aug,1
Zimbabwe,ZWE,54,64444.59381681982,58627.536099331286,1.0992205728658428,Sep,Sep,0
eSwatini,SWZ,7,2473.486572252698,2712.821600695467,0.9117763481456309,Aug,Aug,0
