path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.Gtrop_Europe.k3.json,f03fe9e8e9b97086450944e5dc830cac42b101854a1c8d2618da8b157092caa5,1757,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Europe.k4.json,481e3c47a3ec3efcf4a4e148a718b5fa8c1155ba37729a7981261b006ce95508,1749,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.json,926d56904e5e345cb8c375389255403bce0cded7d86d02c3260622ab5a7f4bc0,1635,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.k1.json,2bf2d1cbe52a87410ed1d4b26439b5de1ded246610634fb1df3da10d3fc55533,1752,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.k2.json,7ac69539b9c8ba6d63177ab4a1d84668168bd9606c377f8bb5c5e77dc5c80a74,1747,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.k3.json,742ea722a5c79e9649af440a9e794fb1fb5a532442513c6710f0b2cb1efdb6d3,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.k4.json,78f581322fc91357c98c28fd77df83acae860ec2457ff10c6f6004bad555d9e4,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_NAmerica.k5.json,3643788017c8bab12d77f2a320f3de854b316fae008892ae90d77aee3a6d544b,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.json,4d877f19d6ac2a13cc35d403258e2fd1de0c428d8279d732c2291b03932153e5,1639,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.k1.json,0edcfab00aa1abb65d38866fbe458a6fb7f9022e25902432b4a87c3800eda2f8,1756,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.k2.json,86abbf62b8ad3ada46593a4ba68e8741801a06316fabf4b0295149c9665d89c5,1747,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.k3.json,88f1a4f8e7e7b024b9ed128f6ce9a01d7585c8848e2d55fef420247047d8f8f8,1757,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
